video_path,caption,generated_caption,meteor_score,cider_score,rouge_l,precision,recall,f1_score,accuracy
C:/Users/poloj/Video_captioning/videos/video1.mp4,a man playing badminton with a shuttlecock on a court,there are two men playing a game of tennis on the court,0.3636363636363636,0.07862564552916046,0.3636363636363636,0.3333333333333333,0.5,0.4,0.4
C:/Users/poloj/Video_captioning/videos/video2.mp4,two bears are playing on the road,there are two bears crossing the road in the rain,0.588235294117647,0.3622315526491816,0.47058823529411764,0.6,0.75,0.6666666666666665,0.8571428571428571
C:/Users/poloj/Video_captioning/videos/video3.mp4,colorful fish swimming in a pond,there are many koi fish swimming in a pond together,0.625,0.8068923333698277,0.625,0.5,0.8333333333333334,0.625,0.8333333333333334
C:/Users/poloj/Video_captioning/videos/video4.mp4,two people riding horses on a sandy beach,there are two people riding horses on the beach next to the water,0.5714285714285714,0.6985701423285413,0.5714285714285714,0.46153846153846156,0.75,0.5714285714285714,0.75
C:/Users/poloj/Video_captioning/videos/video5.mp4,a dog playing with a toy in the yard,there is a dog that is standing in the grass near a fence,0.4545454545454546,0.17048727661267396,0.3636363636363637,0.38461538461538464,0.5555555555555556,0.4545454545454546,0.5555555555555556
C:/Users/poloj/Video_captioning/videos/video6.mp4,a hockey game is being played on the ice,there is a group of people playing a game of ice hockey,0.4761904761904762,0.1556384470098455,0.28571428571428575,0.5,0.6,0.5454545454545454,0.6666666666666666
C:/Users/poloj/Video_captioning/videos/video7.mp4,a person skiing down a snow-covered mountain,there is a man riding skis down a snow covered slope,0.5263157894736842,0.5627482876429095,0.631578947368421,0.45454545454545453,0.625,0.5263157894736842,0.625
C:/Users/poloj/Video_captioning/videos/video8.mp4,a group of people playing on a playground,several children are playing on a small carousel in a park,0.4210526315789474,0.16478743826143635,0.3157894736842105,0.36363636363636365,0.5,0.4210526315789474,0.5
C:/Users/poloj/Video_captioning/videos/video9.mp4,a woman in a white dress playing a violin,there is a woman that is playing a violin on the street,0.4761904761904762,0.2880109505511726,0.4761904761904762,0.4166666666666667,0.625,0.5,0.5555555555555556
C:/Users/poloj/Video_captioning/videos/video10.mp4,a man is shooting a bow at a target,there is a boy that is standing in the grass with a bow,0.3636363636363637,0.19121172555286248,0.3636363636363637,0.38461538461538464,0.5555555555555556,0.4545454545454546,0.5555555555555556
C:/Users/poloj/Video_captioning/videos/video11.mp4,a man playing chess on a bench,this is a close up of a toothbrush on a blue surface,0.3157894736842105,0.05680104995661557,0.3157894736842105,0.3333333333333333,0.5,0.4,0.5714285714285714
C:/Users/poloj/Video_captioning/videos/video12.mp4,people running on a track,there is a group of young children running on a track,0.5000000000000001,0.6995298414816359,0.5000000000000001,0.45454545454545453,0.8333333333333334,0.5882352941176471,1.0
